献艺 ||| 表演 ||| 表演 技艺 给 特定 对象 欣赏 。
院 ||| 部件 官 机构 ||| 用于 较大型 特定 机构 的 名称 。
院 ||| 部件 建筑物 ||| 围墙 内 环绕 房屋 四周 的 空地 。
院 ||| 部件 官 机构 ||| 用于 以 前述 功能 为主 的 特定 营业 场所 的 名称 。
院 ||| 院 ||| 姓 。
相去 ||| 相去 ||| 两个 特定 对象 之间 的 差异 为 。
提起 ||| 提升 ||| 将 物品 垂直 升高 ， 通常 是 用 手 。
提起 ||| 提起 ||| 陈述 时 指涉 到 后述 事件 。
提起 ||| 提起 ||| 将 文件 列入 正式 纪录 ， 进入 法律 程序 。
提起 ||| 提起 ||| 四肢 或 躯干 靠 自己 的 力量 移动 到 较 高 的 位置 。
提起 ||| 提起 ||| 增强 后 述 精神 特质 。
己 ||| 人 己 ||| 代指 人 对 自身 的 意识 与 认知 。
己 ||| 符号 知识 中国 次序 ||| 天干 的 第六位 。
己 ||| 符号 知识 中国 次序 ||| 同类 事物 中 顺序 排 在 第六 的 。
己 ||| 人 己 ||| 代指 没有 指名 的 对象 中 的 第六个 。
己 ||| 人 己 ||| 姓 。
己 ||| 己 ||| 代指 主事者 。
力争 ||| 谋取 卖力 ||| 尽 最大 的 努力 和 其他 对象 互相 夺取 特定 对象 ， 不 退让 。
煮熟 ||| 烹调 ||| 将 食材 烹饪 到 可以 食用 的 程度 。
出神 ||| 木然 ||| 形容 发呆 、 茫然 。
出神 ||| 出神 ||| 形容 专注 于 特定 对象 。
扑 ||| 攻打 军 ||| 熄灭 在 特定 对象 上 燃烧 的 火 。 常 与 ‘ 火 ’ 连用 。
扑 ||| 攻打 军 ||| 比喻 将 精神 或 情感 集中 在 特定 对象 上 。
扑 ||| 攻打 军 ||| 快速 往前 移动 ， 将 身体 的 重心 投射 到 离 原来 位置 有 一段距离 的 目标 物上 。
扑 ||| 攻打 军 ||| 往前 移动 ， 将 身体 的 重心 投射 到 离 原来 位置 有 一段距离 的 目标 物上 的 一次 快速 动作 。
扑 ||| 前进 ||| 拍打 特定 物体 ， 使 其 表面 上 的 附着物 掉落 。
扑 ||| 前进 ||| 以 拍打 的 方式 使 粉状 物 均匀 地 分布 在 皮肤 上 的 化妆 工具 。
扑 ||| 前进 ||| 以 拍打 的 方式 使 粉状 物 均匀 地 分布 在 特定 物体 上 。
扑 ||| 扑 ||| 比喻 到达 目的地 ， 却 没有 找到 预期 的 对象 。 常 与 ‘ 空 ’ 连用 。
扑 ||| 扑 ||| 比喻 没有 达到 预期 的 结果 。 常 与 ‘ 空 ’ 连用 。
扑 ||| 扑 ||| 比喻 主动 追求 后 述 对象 。
扑 ||| 扑 ||| 大量 前述 气味 或 感受 瞬间 使 后述 对象 明显 感觉 到 。
扑 ||| 扑 ||| 急速 向 后述 对象 运动 。
扑 ||| 扑 ||| 鸟类 或 昆虫 等 有 翅膀 的 动物 挥动 翅膀 。
扑 ||| 扑 ||| 姓 。
扑 ||| 扑 ||| 用手 或 手持 工具 捕捉 后 述 对象 。
个 ||| 动量 事件 事情 ||| 表后述 动作 状态 。
个 ||| 名量 实体 ||| 计算 时间 的 单位 ， 用于 月 、 星期 、 小时 等 。
个 ||| 动量 事件 事情 ||| 表 加强 语气 ， 强调 前述 动作 。
个 ||| 动量 事件 事情 ||| 表以 轻松 的 态度 提出 进行 特定 事件 的 要求 。
个 ||| 动量 事件 事情 ||| 人 的 身高 。
个 ||| 名量 实体 ||| 计算 特定 对象 大约 的 数量 的 单位 。
个 ||| 个 ||| 表不 和 其他 同类 对象 一起 。
个 ||| 个 ||| 单独 一个 的 特定 对象 的 单位 。
个 ||| 个 ||| 计算 能 独立 成件 的 具体 对象 的 单位 。
个 ||| 个 ||| 计算 特定 抽象名词 的 单位 。
个 ||| 个 ||| 形容 单独 一人 。
心悸 ||| 心悸 ||| 心中 惊恐 害怕 。
心悸 ||| 心悸 ||| 因 心脏 不 正常 的 快速 跳动 而 感到 不 舒服 。
已经 ||| 已经 ||| 表后述 事件 在 说话 之前 发生 或 完成 。
勿 ||| 功能词 否 ||| 表 否定 ， 用 在 动词 、 状态 形容词 与 副词 前 。
勿 ||| 勿 ||| 表 禁止
勿 ||| 勿 ||| 表 劝阻
纽 ||| 配件 衣物 拴连 ||| 衣物 上 的 部件 ， 用于 穿过 扣眼 来 固定 衣物 或 装饰 。
纽 ||| 部件 手 器具 ||| 特定 器物 上 用来 持 、 握 的 部位 或 系绳 。
纽 ||| 部件 手 器具 ||| 城市 名 ， 德国 巴伐利亚州 的 第二 大城市 ， 也 是 其 工业 中心 。 ‘ 纽伦堡 ’ 的 简省 。
纽 ||| 部件 手 器具 ||| 州名 ， 美国 濒 大西洋 中部 地区 最大 一州 。 ‘ 纽约 ’ 的 简省 。
纽 ||| 部件 手 器具 ||| 比喻 在 特定 事件 中 能 连接 或 控制 、 影响 其他 对象 的 关键 。
纽 ||| 部件 手 器具 ||| 城市 名 ， 美国 第一 大都市 ， 位于 美国 东岸 ， 为 美国 经济 、 工商业 中心 。 ‘ 纽约 ’ 的 简省 。
纽 ||| 部件 手 器具 ||| 城市 名 ， 美国 路易斯安那州 的 第一 大城市 ， 其 港口 为 美国 重要 港口 之一 。 ‘ 纽奥良 ’ 的 简省 。
纽 ||| 部件 手 器具 ||| 位于 南太平洋 的 岛国 ， 首都 为 威灵顿 。 ‘ 纽西兰 ’ 的 简省 。
纽 ||| 部件 手 器具 ||| 治理 纽西兰 的 政府 。 ‘ 纽西兰 ’ 的 缩写 。
纽 ||| 部件 手 器具 ||| 形声字 的 声符 。
纽 ||| 纽 ||| 姓 。
孙权 ||| 孙权 ||| 三国 江东 吴国 开国 君王 ， 字仲谋 ， 谥号 大 皇帝 。
玻 ||| 玻 ||| 国名 ， 南美洲 中部 的 国家 ， 首都 为 苏克雷 。 ‘ 玻利维亚 ’ 的 简省 。
玻 ||| 玻 ||| 以 石英 或砂 等 为 原料 ， 质地 硬且 不透气 的 透明 物体 。 ‘ 玻璃 ’ 的 简省 。
玻 ||| 玻 ||| 治理 玻利维亚 的 政府 。 ‘ 玻利维亚 ’ 的 缩写 。
住 ||| 住下 ||| 人类 社会 的 重要 活动 之一 ， 与 居住 相关 的 一切 活动 。
住 ||| 住下 ||| 在 固定 的 特定 地方 或 区域 进行 与 居住 相关 的 一切 活动 。
住 ||| 住 ||| 比喻 将 心境 维持 在 后述 状态 。
住 ||| 住 ||| 形容 前述 动作 停顿 或 静止 。
韧 ||| 韧 ||| 富有 弹性 的 带状 结缔组织 ， 通常 为于 骨骼 间 ， 用来 连结 。
韧 ||| 韧 ||| 形容 比喻 特定 对象 意志坚强 不怕 挫折 。
韧 ||| 韧 ||| 形容 物体 本身 容易 延展 ， 受 外力 时 不易 折断 。
辟 ||| 辟 ||| 比喻 在 后述 时段 中 建立 新 的 后述 对象 。
辟 ||| 辟 ||| 比喻 在 特定 领域 中 建立 新 的 后述 对象 。
辟 ||| 辟 ||| 澄清 后 述 负面 说法 或 想法 。
辟 ||| 辟 ||| 在 特定 空间 中 建立 新 的 后述 对象 。
现金 ||| 货币 商业 金融 ||| 库存 在 银行 的 货币 。
现金 ||| 货币 商业 金融 ||| 身上 现有 或 立即 可付 的 货币 。
侈于 ||| 侈于 ||| 以 铺张浪费 的 方式 做 后述 事件 。
中小 ||| 中小 ||| 形容 事物 的 规模 接近 或 少于 平均 。
任教 ||| 从事 教 教育 ||| 担任 教师 工作 。
懒得 ||| 懒得 ||| 不 愿意 花 体力 去 做 。
懒得 ||| 懒得 ||| 不 愿意 花心思 去 做 。
现任 ||| 担任 现在 ||| 现在 正 担当 的 特定 职务 或 具有 的 特定 身份 是 后述 对象 。
现任 ||| 担任 现在 ||| 形容 现在 正 担当 特定 职务 或 具有 特定 身份 。
爷 ||| 人 家庭 直系 男 长辈 ||| 子女 对 生育 自己 的 男子 的 指称 ， 或 指 在 家庭 关系 中 扮演 父亲 角色 的 男子 。
爷 ||| 人 家庭 直系 男 长辈 ||| 对 亲属 中 与 祖父 同辈 的 男子 的 称呼 。
爷 ||| 人 家庭 直系 男 长辈 ||| 对 与 祖父 年纪 相仿 的 一般 年长 男子 的 尊称 。
爷 ||| 人 家庭 直系 男 长辈 ||| 对 有 孙子 的 男子 的 指称 。
爷 ||| 人 家庭 直系 男 长辈 ||| 有 孙子 的 男子 。
爷 ||| 人 成年 男 ||| 对 有 权力 地位 的 特定 男子 的 称呼 。
爷 ||| 人 家庭 直系 男 长辈 ||| 代指 男性 说话 者 自己 ， 带有 狂妄 的 语气 。
爷 ||| 人 家庭 直系 男 长辈 ||| 民间 对 所 信仰 的 男性 神明 的 称呼 。
换言之 ||| 功能词 ||| 表以 另 一种 说法 来 表示 。
参与 ||| 从事 ||| 进行 后述 已 进行 中 或 规划 给 多 人 进行 的 特定 活动 或 事件 。
于是 ||| 功能词 ||| 连接 结果 句 ， 用来 承接 上 半句 的 原因 。
蒋 ||| 姓 ||| 姓 。
蒋 ||| 蒋 ||| 蒋中正 及其 家族 。
蒋 ||| 蒋 ||| 近代 中国 政治家 ， 名经国 ， 字建丰 ， 曾任 中华民国 第六任 、 第七任 总统 。 ‘ 蒋经国 ’ 的 缩写 。
蒋 ||| 蒋 ||| 中国 近代 政治家 、 军事家 ， 名 中正 ， 字 介石 ， 民国 三十七年 当选 中华民国 首任 总统 ， 民国 三十八年 带领 国民党 播迁 到 台湾 。 ‘ 蒋中正 ’ 的 缩写 。
队 ||| 物形 有序 线 ||| 行列 。
队 ||| 物形 有序 线 ||| 计算 行列 的 单位 。
队 ||| 名量 人 ||| 成员 具 共同 目标 ， 个别 分工 的 团体 。
队 ||| 团体 ||| 计算 以队 为 单位 的 团体 的 单位 。
香 ||| 气味 物质 香 ||| 用 香料 制成 的 燃烧 时会 散发 香味 的 物品 。
香 ||| 举止值 喜悦 吃 ||| 用 嘴 轻触 对方 以示 亲密 。
香 ||| 气味 物质 香 ||| 好闻 的 气味 。
香 ||| 气味 物质 香 ||| 形容 气味 好闻 的 。
香 ||| 气味 物质 香 ||| 形容 食物 能够 在 口腔 中 引起 类似 嗅觉 的 好闻 气味 的 。
香 ||| 用具 焚烧 致敬 拟人 ||| 形容 比喻 睡眠 的 状态 深而 舒服 的 。
香 ||| 用具 焚烧 致敬 拟人 ||| 形容 比喻 与 漂亮 的 女子 相关 的 。
香 ||| 用具 焚烧 致敬 拟人 ||| 比喻 漂亮 的 女子 。
香 ||| 香 ||| 姓 。
感到 ||| 感到 ||| 感知 到 后述 外界 刺激 的 存在 。
感到 ||| 感到 ||| 身体 感官 辨识 出 外界 刺激 。
感到 ||| 感到 ||| 实际 体验 并 认同 后 述 命题 。
感到 ||| 感到 ||| 受到 外界 刺激 而 产生 后 述 情感 或 态度 。
感到 ||| 感到 ||| 引述 或 陈述 前述 对象 的 认知 或 感受 。
赞成 ||| 同意 ||| 同意 他人 的 主张 或 行为 。
赞成 ||| 赞成 ||| 支持 他人 的 主张 或 行为 。
要不是 ||| 功能词 ||| 连接 假设 的 必要条件 。
她们 ||| 人 他 女 众 ||| 代指 说话 者 和 听话者 以外 的 复数 女子 。
计划 ||| 规划 ||| 初步 决定 要 做 后述 事件 。
计划 ||| 计划 ||| 拟定 的 步骤 与 方法 。
计划 ||| 计划 ||| 拟定 事件 进行 的 步骤 与 方法 。
溶化 ||| 态变 液 ||| 固体 因 温度 升高 而 化为 液体 或 半 固体 ， 通常 用于 冰 、 雪 。
溶化 ||| 态变 液 ||| 使 固体化 为 液体 。
溶化 ||| 溶化 ||| 比喻 特定 情绪 或 感觉 消失 或 用尽 。
医护 ||| 事务 医 ||| 形容 从事 医生 或 护士 相关 的 工作 。
求签 ||| 求签 ||| 在 神 佛像 前 祈求 预测 吉凶祸福 的 签 。
铝 ||| 金属 化学 ||| 实用 金属 ， 化学 符号 为 Al 。
铝 ||| 金属 化学 ||| 像 铝 一样 的 颜色 。
铝 ||| 金属 化学 ||| 形容 主要 材质 为 铝 的 。
铝 ||| 金属 化学 ||| 以 铝 制成 的 器物 。
彩色 ||| 彩色 ||| 多种 的 颜色 。
彩色 ||| 彩色 ||| 形容 比喻 生活 丰富 且 多 变化 的 。
彩色 ||| 彩色 ||| 形容 有 多种 颜色 ， 不 只 黑色 和 白色 的 。
彩色 ||| 彩色 ||| 形容 运用 多种 颜色 呈现 的 。
你 ||| 人 你 ||| 代指 任何人 。
你 ||| 你 ||| 代指 单数 的 听话者 。
你 ||| 你 ||| 代指 单数 的 听话者 所 拥有 的 。
你 ||| 你 ||| 代指 单数 听话者 所属 的 团体 。
岳飞 ||| 岳飞 ||| 中国 南宋 时期 著名 将领 ， 字 鹏举 ， 谥 武穆 。
付款 ||| 付 货币 ||| 履行 约定 所 支付 的 款项 。
付款 ||| 付 货币 ||| 支付 款项 以 履行 约定 。
导演 ||| 人 职位 艺 引导 表演 ||| 演出 戏剧 或 拍摄 影片 时 ， 负责 组织 和 指导 演出 工作 的 人 。
导演 ||| 人 职位 艺 引导 表演 ||| 演出 戏剧 或 拍摄 影片 时 ， 负责 组织 和 指导 演出 工作 。
导演 ||| 引导 表演 艺 ||| 比喻 主导 安排 特定 事件 的 发展 。
胡说 ||| 胡说 ||| 毫无道理 或 根据地 乱说话 。
肾 ||| 部件 脏 动物 ||| 动物 的 排泄器官 之一 ， 主要 功能 为 将 血液 中 的 废物 转换 为 尿液 以 排出 。
遗传 ||| 留给 家庭 生物学 ||| 生物 亲子 之间 由 基因 传递 特质 或 特性 。
遗传 ||| 遗传 ||| 比喻 由 过去 世代 传给 未来 世代 。
集 ||| 场所 商业 买 卖 ||| 商品 集中 进行 交易 买卖 的 场所 。
集 ||| 部件 书刊 表演物 ||| 收录 集结 特定 同类 作品 编成 的 书 。
集 ||| 部件 书刊 表演物 ||| 一系列 的 文字 作品 或 影视作品 的 其中 一个 。
集 ||| 部件 书刊 表演物 ||| 中国 古代 图书目录 四部 分类 之一 ， 指 诗文 作品 。
集 ||| 聚集 ||| 使 分散 的 后述 对象 聚集 在 一起 。
集 ||| 集 ||| 姓 。
少 ||| 低于正常 多少 ||| 数量 小 。
少 ||| 低于正常 多少 ||| 形容 数量 小 。
少 ||| 低于正常 多少 ||| 表 次数 比 预期 低 。
少 ||| 低于正常 多少 ||| 形容 年纪 小 的 。
少 ||| 失去 ||| 遗失 。
少 ||| 少 ||| 表比 预期 的 目标 减少 。
少 ||| 少 ||| 预期 的 特定 对象 不 存在 。
少 ||| 少 ||| 预期 的 特定 对象 不够 。
病毒 ||| 微生物 医 能 导致 疾病 ||| 微生物 的 一种 ， 无 生殖 能力 ， 只能 在 活 寄主 的 细胞 内 增殖 ， 会 造成 感染 。
病毒 ||| 软件 损害 电脑 因特网 软件 用具 交流 ||| 一种 不断 自动 复制 的 电脑程式 ， 通常 会 破坏 被 感染 的 电脑 。
病毒 ||| 微生物 医 能 导致 疾病 ||| 比喻 团体 中会 对 该 团体 产生 危害 的 特定 对象 。
自告奋勇 ||| 自告奋勇 ||| 主动 要求 承担 特定 工作 。
起初 ||| 起初 ||| 表 开始 、 最先 的 。
来不及 ||| 无 时间 ||| 表 没有 足够 的 时间 进行 后 述 事件 。
来不及 ||| 无 时间 ||| 表 主事者 有 进行 前述 事件 的 充分 意愿 。
来不及 ||| 来不及 ||| 形容 前述 事件 从 时效 上 来看 已经 太晚 而 无法挽回 了 。
师范学院 ||| 场所 教育 高等 学习 教 ||| 专门 培养 小学 师资 的 独立 学院 。
师范学院 ||| 场所 教育 高等 学习 教 ||| 师范学院 的 建筑物 及 建筑物 所在 的 位置 。
行销 ||| 卖 ||| 进行 商业行为 中 的 广告 发行 与 销售 。
行销 ||| 卖 ||| 商业行为 中 的 广告 发行 与 销售 。
携手 ||| 共同 ||| 表 共同 做 。
携手 ||| 共同 ||| 表 手拉手 ， 通常 带有 感情 。
携手 ||| 携手 ||| 两个 以上 特定 对象 互相配合 做 特定 事件 ， 以 达成 特定 目标 。
挖出 ||| 挖掘 ||| 用 挖 的 方式 清出 耳 、 鼻 等 器官 中 的 垢 。
挖出 ||| 挖出 ||| 比喻 努力 寻求 并 取得 特定 对象 ， 通常 有 负面 含意 。
挖出 ||| 挖出 ||| 用 工具 或手 从 物体 的 表面 向 里面 施力 ， 取出 其中 包藏 在 内部 的 物体 ， 强调 动作 的 结果 。
挖出 ||| 挖出 ||| 用 工具 或手 从 物体 的 表面 向 里面 施力 ， 取出 其中 的 一部 份 ， 使 其 形成 凹洞 或 通道 。 常 与 ‘ 洞 ’ 、 ‘ 井 ’ 连用 。
鸭 ||| 禽 家养 ||| 脊椎动物 ， 禽类 ， 卵生 ， 身上 有 羽毛 ， 嘴 扁平 ， 趾间 有 蹼 ， 善 游水 。
鸭 ||| 禽 家养 ||| 以 鸭 为 形象 制造 的 人 造物 。
鸭 ||| 禽 家养 ||| 以 鸭 为 主要 食材 的 料理 。
鸭 ||| 鸭 ||| 提供 女子 性 服务 以 赚取 金钱 的 男子 。
改进 ||| 改进 ||| 改变 原本 的 状态 以 达到 更好 的 状态 。
送 ||| 问候 离别 人 另 ||| 将 人 或 物品 经由 一定 路径 带到 特定 地点 。
送 ||| 问候 离别 人 另 ||| 举行 餐会 向 将要 远行 的 人 告别 。
送 ||| 问候 离别 人 另 ||| 陪 着 要 离开 的 人 出发 一起 走 一段路 。
送 ||| 问候 离别 人 另 ||| 前述 对象 将 特定 事物 当作 礼物 给 后述 对象 。
送 ||| 问候 离别 人 另 ||| 带到 特定 地点 进行 特定 事件 。 常用 ‘ 送 … 去 … ’ 。
送 ||| 问候 离别 人 另 ||| 参加 丧礼 向 死者 告别 。
送 ||| 问候 离别 人 另 ||| 比喻 除了 视觉 以外 的 身体 感官 经由 非 具象 的 媒介 带到 特定 地点 。
送 ||| 问候 离别 人 另 ||| 比喻 以 特定 身体 动作 传递 情绪 。
送 ||| 问候 离别 人 另 ||| 交易 时 给 符合 特定条件 的 顾客 一些 好处 。
送 ||| 传送 ||| 透过 管线 运输 流体 ， 常用 于 供应 水 或 电 。
送 ||| 传送 ||| 以 电波 或 电脑 为 媒介 传送 讯息 。
送 ||| 送 ||| 比喻 没有 得到 应有 的 报偿 而 失去 ， 常用 于 与 生命 或 前途 相关 的 重大事件 。
送 ||| 送 ||| 肢体 往 特定 方向 运动 。
雇 ||| 雇用 ||| 以 金钱 做 为 报酬 请 他人 做事 。
味 ||| 气味 物质 ||| 鼻子 闻 特定 物质 所 得到 的 感觉 。
味 ||| 气味 物质 ||| 嘴巴 尝 特定 物质 所 得到 的 感觉 。
味 ||| 味 ||| 比喻 特定 对象 具有 的 前述 特质 。
味 ||| 味 ||| 菜肴 。
味 ||| 味 ||| 计算 菜肴 的 单位 。
味 ||| 味 ||| 计算 中药 药材 种类 的 单位 。
味 ||| 味 ||| 喜好 并 想要 深入 了解 特定 对象 的 感觉 。
存 ||| 留存 金融 ||| 将 金钱 储蓄 在 特定 金融机构 。
存 ||| 留存 金融 ||| 将 档案 存入 储存 装置 中 。
存 ||| 活着 遭受 病态 劫难 ||| 形容 生命 持续 。
存 ||| 留存 ||| 将 后述 对象 置于 并 保留 在 特定 空间 。
存 ||| 留存 ||| 将 特定 对象 存放 在 特定 空间 维持 其 可 使用 的 状态 。
存 ||| 活着 遭受 病态 劫难 ||| 比喻 将 特定 事物 放在 记忆 中 。
存 ||| 活着 遭受 病态 劫难 ||| 对 特定 权力 行使 支配权 ， 使 特定 对象 能 在 适当 时机 使用 。
存 ||| 活着 遭受 病态 劫难 ||| 形容 在 时间 上 持续 。
存 ||| 心怀 ||| 有 后述 心理 或 精神状态 。
存 ||| 存 ||| 姓 。
汲汲于 ||| 汲汲于 ||| 急切 地 求取 后 述 对象 。
蓬 ||| 花草 ||| 多年生 草本植物 ， 菊科 飞蓬 属 ， 茎 多 分枝 ， 叶 形似 柳而 小 ， 有 刚毛 ， 花色 白 ， 成熟 后 随风 飞 。
蓬 ||| 蓬 ||| 计算 聚集 在 一起 的 同类 对象 的 集合体 的 单位 。
蓬 ||| 蓬 ||| 形容 物体 看起来 松散 柔软 。
蓬 ||| 蓬 ||| 姓 。
结伴 ||| 结伴 ||| 表与 他人 一起 做 后述 活动 。
受托 ||| 经受 委托 ||| 接受 他人 委托 的 任务 。
呐 ||| 功能词 语助 ||| 表 解释 或 提醒 对方 的 语气 ， 用 在 陈述句 末 。
呐 ||| 功能词 语助 ||| 表 疑问 或 反问 的 语气 ， 具有 缓和 的 作用 。
呐 ||| 功能词 语助 ||| 表 打招呼 或 引起 对方 注意 的 语气 。
呐 ||| 功能词 语助 ||| 比喻 公开 发表 言论 或 主张 。
呐 ||| 功能词 语助 ||| 表 感叹 的 语气 。
呐 ||| 功能词 语助 ||| 表 列举 省略 的 语气 。
呐 ||| 功能词 语助 ||| 表 停顿 的 语气 。
呐 ||| 呐 ||| 人以 大声 量 说话 。
他 ||| 人 他 男 ||| 代指 自己 和 对方 以外 的 第三 人 ， 常 专指 男性 。
他 ||| 人 他 男 ||| 代指 自己 和 对方 以外 的 第三 人 所 拥有 的 。
他 ||| 人 他 男 ||| 代指 说话 者 所属 团体 以外 的 团体 。
他 ||| 人 他 男 ||| 代指 自己 和 对方 以外 的 第三人称 。
他 ||| 另 ||| 代指 其他 特殊 的 原因 。
吹 ||| 娱乐 乐器 ||| 演奏 以口 吹 的 乐器 。
吹 ||| 呼出 ||| 聚拢 嘴唇 以口 用力 呼气 。
吹 ||| 娱乐 乐器 ||| 以 吹气 的 方式 将 后述 材料 制作 成 物品 。
吹 ||| 吹 ||| 比喻 特定 趋势 在 特定 领域 中 盛行 。
吹 ||| 吹 ||| 对 特定 对象 的 正面 描述 超过 实际 的 程度 。
吹 ||| 吹 ||| 关系 无法 维持 或 事件 无法 继续 进行 。
吹 ||| 吹 ||| 气流 往 特定 方向 移动 。
吹 ||| 吹 ||| 以 吹气 的 方式 使火 熄灭 。
吹 ||| 吹 ||| 用 后述 会 产生 风 的 电器 用品 调整 温度 。
吹 ||| 吹 ||| 用会 产生 风 的 电器 去除 后 述 身体 部位 或 物品 上 的 多余 水份 或 气味 。
锦 ||| 材料 衣物 用具 ||| 以 彩色 丝线 织出 的 有 花纹 图案 的 丝织品 。
锦 ||| 材料 衣物 用具 ||| 形容 比喻 色彩鲜明 华丽 的 。
锦 ||| 锦 ||| 位于 辽宁省 西南部 ， 在 沈阳市 、 葫芦岛市 、 渤海 辽东湾 和 阜新市 之间 。
锦 ||| 锦 ||| 姓 。
处 ||| 部件 组织 处理 事务 ||| 比喻 特定 的 抽象 地方 。
处 ||| 部件 组织 处理 事务 ||| 机关 中 的 组织 单位 。
处 ||| 部件 组织 处理 事务 ||| 特定 对象 所在 的 地方 。
处 ||| 部件 组织 处理 事务 ||| 计算 部位 、 地点 的 单位 。
处 ||| 位置 发生 事情 ||| 与 人 互动 。
处 ||| 处罚 警 ||| 法院 对 定罪 对象 做出 特定 处罚 。
处 ||| 处理 ||| 采取行动 以 解决 特定 事件 。
处 ||| 部件 组织 处理 事务 ||| 存在 于 特定 的 时间 或 空间 。
处 ||| 地方 ||| 以 特定 态度 对待 。
跳出来 ||| 跳出来 ||| 打破 沉默 ， 挺身而出 。
跳出来 ||| 跳出来 ||| 借由 跳舞 表现 出 。
跳出来 ||| 跳出来 ||| 跳跃 而出 。
跳出来 ||| 跳出来 ||| 突然 出现 。
跳出来 ||| 跳出来 ||| 突然 出现 在 荧幕 上 。
跳出来 ||| 跳出来 ||| 脱离 特定 限制 束缚 。
跳出来 ||| 跳出来 ||| 形容 心脏 剧烈 跳动 。
此后 ||| 时间 将来 ||| 表从 特定 时间 参考点 或 事件 开始 。
患 ||| 患 ||| 特定 疾病 产生 在 特定 生物体 上 。
患 ||| 患 ||| 忧虑 、 担心 。
揉 ||| 摩擦 ||| 用手 对 后述 物体 施压 并 反复 来回 摩擦 。
揉 ||| 摩擦 ||| 用 手压 在 皮肤 表面 反复 来回 摩擦 。
揉 ||| 揉 ||| 演奏 弦乐器 时以 手指 按压 弦 并 来回 抖动 。
旗 ||| 地方 县 ||| 内蒙古自治区 的 地方 政府 行政区域 之一 ， 相当于 县 。
旗 ||| 用具 装饰 ||| 以 纺织品 或 类似 材质 制成 ， 印有 各式 图案 或 颜色 的 标志 ， 通常 用于 辨识 或 代表 特定 对象 。
旗 ||| 用具 装饰 ||| 满清时代 的 户口 编制 ， 共 分为 八旗 。
旗 ||| 用具 装饰 ||| 形容 属于 满族 的 。
旗 ||| 旗 ||| 姓 。
讨 ||| 娶 ||| 娶 老婆 之意 ， 为 口语 用法 。
讨 ||| 攻打 军 警 ||| 名列 罪状 ， 并 使用 手段 ， 逼人 就范 。
讨 ||| 讨 ||| 从 后述 对象 上 得到 正面 评价 。
讨 ||| 讨 ||| 根据 已 确定 的 权益 ， 提出 履行 后 述 义务 的 要求 。
讨 ||| 讨 ||| 说话 者 认为 主事者 态度 不好 ， 好像 想要 得到 后 述 处罚 ， 常用 于 负面 的 反讽 。
讨 ||| 讨 ||| 提出 后 述 需求 ， 希望 得到 对方 的 施舍 。
讨 ||| 讨 ||| 希望 拥有 。
命令 ||| 语文 命令 ||| 人 给 电脑 的 指令 。
命令 ||| 命令 ||| 较 有 权力 的 人 或 机构 所 做 的 要求 。
命令 ||| 命令 ||| 较 有 权力 的 人 或 机构 要求 他人 去 做 后述 事件 。
命令 ||| 命令 ||| 具 强制性 的 要求 或 状况 。
命令 ||| 命令 ||| 强制性 地 要求 。
阔 ||| 富 ||| 形容 有钱 且 花钱 大方 奢侈 的 。
阔 ||| 阔 ||| 从 观察者 的 方向 ， 与 后述 对象 分开 。
阔 ||| 阔 ||| 花钱 大方 奢侈 的 行为 。
阔 ||| 阔 ||| 形容 花钱 大方 奢侈 的 。
阔 ||| 阔 ||| 形容 身体 部位 或 衣物 部件 面积 较大 。
阔 ||| 阔 ||| 形容 自然景观 的 边界 没有 明显 的 障碍 。
平 ||| 相等 体育 较量 ||| 形容 帐务 收入 和 支出 刚好 变得 平衡 相 抵销 。
平 ||| 相等 体育 较量 ||| 形容 帐务 收入 和 支出 刚好 平衡 相 抵销 。
平 ||| 相等 体育 较量 ||| 帐务 收入 和 支出 刚好 平衡 相 抵销 。
平 ||| 相等 体育 较量 ||| 形容 比喻 比赛结果 不分胜负 。
平 ||| 相等 体育 较量 ||| 专指 现代汉语 标准语 里 的 第一声 和 第二声 。 ‘ 平声 ’ 的 简省 。
平 ||| 变形状 平 ||| 形容 状态 或 运动 方向 与 水平线 平行 的 。
平 ||| 攻打 军 警 ||| 比喻 用 武力 使 特定 对象 屈服 。
平 ||| 相等 ||| 形容 比喻 分布 或 分配 的 量 相等 。
平 ||| 相等 体育 较量 ||| 形容 原本 直立 的 物体 因受 外力 破坏 变得 破碎 分布 在 地面 上 。
平 ||| 相等 体育 较量 ||| 形容 原本 直立 的 物体 因受 外力 破坏 而 破碎 分布 在 地面 上 。
平 ||| 相等 体育 较量 ||| 原本 直立 的 物体 因受 外力 破坏 而 破碎 分布 在 地面 上 。
平 ||| 公正 ||| 平等 对待 所有人 事物 的 行为 特质 。
平 ||| 普通 ||| 比喻 特定 事件 对 双方 造成 的 影响 互相 抵销 ， 不 亏欠 任何一方 。 常 与 ‘ 扯 ’ 连用 。
平 ||| 普通 ||| 形容 比喻 心神 安定 安宁 的 。 常 与 ‘ 心 ’ 连用 。
平 ||| 姓 ||| 形容 股票指数 涨跌幅 度 稳定 ， 没有 太 大 波动 的 。
平 ||| 姓 ||| 姓 。
平 ||| 平 ||| 比喻 处理 争端 并 排除 所有 的 反对 意见 。
平 ||| 平 ||| 比喻 达到 后 述 最高 成绩 。
平 ||| 平 ||| 汉语 方言 中 ， 平出 而 没有 明显 高低 变化 的 声调 。 ‘ 平声 ’ 的 简省 。
